FULLNAME;TICKER
IMAGIS.xlsx;img_y.xlsx
IMCSA.xlsx;imc_y.xlsx
IMMOBILE.xlsx;gki_y.xlsx
IMMOFINA.xlsx;iia_y.xlsx
IMPEL.xlsx;ipl_y.xlsx
IMPERA.xlsx;imp_y.xlsx
IMPEXMET.xlsx;ipx_y.xlsx
INBOOK.xlsx;inb_y.xlsx
INC.xlsx;inc_y.xlsx
INCANA.xlsx;ica_y.xlsx
INDATA.xlsx;idt_y.xlsx
INDYGOTE.xlsx;idg_y.xlsx
INDYKPOL.xlsx;ind_y.xlsx
INFOSCAN.xlsx;ist_y.xlsx
INFOSCOP.xlsx;isc_y.xlsx
INFOSYST.xlsx;ifs_y.xlsx
INFOVIDE.xlsx;imx_y.xlsx
INFRA.xlsx;ifa_y.xlsx
INNOCOMM.xlsx;icm_y.xlsx
INNOGEN.xlsx;ign_y.xlsx
INPOST.xlsx;ipt_y.xlsx
INPRO.xlsx;inp_y.xlsx
INSTAL_K.xlsx;ink_y.xlsx
INTEGER.xlsx;itg_y.xlsx
INTELIWI.xlsx;itl_y.xlsx
INTERCAR.xlsx;car_y.xlsx
INTERFER.xlsx;inf_y.xlsx
INTERLUB.xlsx;itb_y.xlsx
INTERMED.xlsx;ims_y.xlsx
INTERNIT.xlsx;int_y.xlsx
INTERRAO.xlsx;irl_y.xlsx
INTERSPO.xlsx;ipo_y.xlsx
INTROL.xlsx;inl_y.xlsx
INVENTI.xlsx;ivt_y.xlsx
INVENTUM.xlsx;aum_y.xlsx
INVESTEK.xlsx;ive_y.xlsx
INVFMAN.xlsx;ifm_y.xlsx
INVFRICA.xlsx;ifc_y.xlsx
INVICO.xlsx;ivc_y.xlsx
INVISTA.xlsx;inv_y.xlsx
INWALTER.xlsx;iap_y.xlsx
INWPL.xlsx;inw_y.xlsx
IPFPLC.xlsx;ipf_y.xlsx
IPODS.xlsx;iod_y.xlsx
IPOPEMA.xlsx;ipe_y.xlsx
IPOSA.xlsx;isa_y.xlsx
IQPARTNE.xlsx;iqp_y.xlsx
ISIAG.xlsx;isg_y.xlsx
IUNION.xlsx;ius_y.xlsx
IZOBLOK.xlsx;izb_y.xlsx
IZOL_JAR.xlsx;izo_y.xlsx
IZOSTAL.xlsx;izs_y.xlsx
JAGUAR.xlsx;gja_y.xlsx
JANTAR.xlsx;jan_y.xlsx
JHMDEV.xlsx;jhm_y.xlsx
JJAUTO.xlsx;jjo_y.xlsx
JRHOLDIN.xlsx;jrh_y.xlsx
JSW.xlsx;jsw_y.xlsx
JUJUBEE.xlsx;jjb_y.xlsx
JUPITER.xlsx;jpr_y.xlsx
JWWINV.xlsx;jww_y.xlsx
JW_CONST.xlsx;jwc_y.xlsx
K2INTERN.xlsx;k2i_y.xlsx
KAMPA.xlsx;kam_y.xlsx
KANCELWE.xlsx;kpi_y.xlsx
KANIA.xlsx;kan_y.xlsx
KBJSA.xlsx;kbj_y.xlsx
KCI.xlsx;kci_y.xlsx
KDMSHIP.xlsx;kdm_y.xlsx
KERNEL.xlsx;ker_y.xlsx
KETY.xlsx;kty_y.xlsx
KGHM.xlsx;kgh_y.xlsx
KINKASO.xlsx;kri_y.xlsx
KINOPL.xlsx;kpl_y.xlsx
KKHERBAL.xlsx;kkh_y.xlsx
KLASZTOR.xlsx;prk_y.xlsx
KLEBA.xlsx;kin_y.xlsx
KLON.xlsx;kln_y.xlsx
KOFOL.xlsx;kof_y.xlsx
KOFOLA.xlsx;kfl_y.xlsx
KOGENER.xlsx;kgn_y.xlsx
KOMPAP.xlsx;kmp_y.xlsx
KOMPLEKS.xlsx;kms_y.xlsx
KOMPUTRO.xlsx;kom_y.xlsx
KONSORCJ.xlsx;kst_y.xlsx
KOPAHAUS.xlsx;kop_y.xlsx
KOPEX.xlsx;kpx_y.xlsx
KORBANK.xlsx;kor_y.xlsx
KORBUDOM.xlsx;kbd_y.xlsx
KORPKGL.xlsx;kgla_y.xlsx
KPPD.xlsx;kpd_y.xlsx
